date,pond,raindoy,year,precip_mm,risestarttime,riseendtime,norise,multiday,multipeak,exclude
2024-09-07,Tiedemans,251,2024,1.524,2024-09-06 14:15,2024-09-06 15:40,NA,NA,NA,NA
2024-09-20,Tiedemans,264,2024,24.892,2024-09-19 23:00,2024-09-20 03:15,NA,NA,NA,NA
2024-09-22,Tiedemans,266,2024,90.17,2024-09-21 15:30,2024-09-22 13:40,NA,X,X,NA
2024-10-04,Tiedemans,278,2024,1.016,NA,NA,X,NA,NA,NA
2024-10-13,Tiedemans,287,2024,4.318,NA,NA,X,NA,NA,NA
2024-10-14,Tiedemans,288,2024,0.762,NA,NA,X,NA,NA,NA
2024-10-25,Tiedemans,299,2024,1.524,NA,NA,X,NA,NA,NA
2024-10-31,Tiedemans,305,2024,72.39,2024-10-30 17:30,2024-10-31 03:00,NA,NA,X,NA
2024-11-03,Tiedemans,308,2024,0.254,NA,NA,X,NA,NA,NA
2024-11-04,Tiedemans,309,2024,19.685,2024-11-03 10:10,2024-11-03 20:35,NA,NA,NA,NA
